id;fecha;valor;fecha_pago
1;2020-04-12T13:49:33;66735;2020-04-11T18:27:00
2;2020-04-11T19:45:26;25896;2020-04-12T07:51:22
3;2020-04-12T01:29:45;17222;2020-04-12T04:43:34
4;2020-04-12T01:14:53;97186;2020-04-12T05:45:48
5;2020-04-11T19:58:31;26606;2020-04-12T03:28:29
6;2020-04-12T06:21:47;87056;2020-04-12T06:26:04
7;2020-04-12T06:04:43;23235;2020-04-11T19:40:03
8;2020-04-12T10:48:48;11237;2020-04-12T01:24:03
9;2020-04-11T22:26:28;67822;2020-04-11T19:36:26
10;2020-04-12T11:03:59;99908;2020-04-11T15:52:47
